Player,Destination Club,Origin Club,Fee Text,Transfer Fee (EUR),Norm,Pos,Age,MP,Min,Gls,Ast,_merge
Declan RiceD. Rice,Arsenal FC,Unknown,€116.60m,11660000000.0,Declan Rice,MF,24.0,38.0,3225.0,7.0,8.0,both
Kai HavertzK. Havertz,Arsenal FC,Unknown,€75.00m,7500000000.0,Kai Havertz,"MF,FW",24.0,37.0,2634.0,13.0,7.0,both
Jurrien TimberJ. Timber,Arsenal FC,Unknown,€40.00m,4000000000.0,Jurrin Timber,DF,22.0,2.0,71.0,0.0,0.0,both
Moussa DiabyM. Diaby,Aston Villa,Unknown,€55.00m,5500000000.0,Moussa Diaby,"FW,MF",24.0,38.0,2174.0,6.0,8.0,both
Pau TorresP. Torres,Aston Villa,Unknown,€33.00m,3300000000.0,Pau Torres,DF,26.0,29.0,2464.0,2.0,0.0,both
Youri TielemansY. Tielemans,Aston Villa,Unknown,free transfer,0.0,Youri Tielemans,"MF,FW",26.0,32.0,1622.0,2.0,6.0,both
Tyler AdamsT. Adams,AFC Bournemouth,Unknown,€26.90m,2690000000.0,Tyler Adams,MF,24.0,3.0,121.0,0.0,0.0,both
Hamed Junior TraoréH. Traoré,AFC Bournemouth,Unknown,€25.62m,2562000000.0,Hamed Traor,MF,23.0,3.0,47.0,0.0,0.0,both
Alex ScottA. Scott,AFC Bournemouth,Unknown,€23.00m,2300000000.0,Alex Scott,MF,19.0,23.0,1014.0,1.0,1.0,both
Milos KerkezM. Kerkez,AFC Bournemouth,Unknown,€17.87m,1787000000.0,Milos Kerkez,DF,19.0,28.0,1970.0,0.0,1.0,both
Romain FaivreR. Faivre,AFC Bournemouth,Unknown,€15.00m,1500000000.0,Romain Faivre,"MF,FW",25.0,5.0,41.0,0.0,0.0,both
Justin KluivertJ. Kluivert,AFC Bournemouth,Unknown,€10.80m,1080000000.0,Justin Kluivert,"MF,FW",24.0,32.0,1916.0,7.0,1.0,both
Max AaronsM. Aarons,AFC Bournemouth,Unknown,€8.10m,810000000.0,Max Aarons,DF,23.0,20.0,1237.0,0.0,1.0,both
Nathan CollinsN. Collins,Brentford FC,Unknown,€26.85m,2685000000.0,Nathan Collins,DF,22.0,32.0,2652.0,1.0,1.0,both
Kevin SchadeK. Schade,Brentford FC,Unknown,€25.00m,2500000000.0,Kevin Schade,"FW,MF",21.0,11.0,333.0,2.0,1.0,both
Mark FlekkenM. Flekken,Brentford FC,Unknown,€13.00m,1300000000.0,Mark Flekken,GK,30.0,37.0,3285.0,0.0,1.0,both
João PedroJoão Pedro,Brighton & Hove Albion,Unknown,€34.20m,3420000000.0,Joo Pedro,"FW,MF",21.0,31.0,2045.0,9.0,3.0,both
Carlos BalebaC. Baleba,Brighton & Hove Albion,Unknown,€27.00m,2700000000.0,Carlos Baleba,MF,19.0,27.0,1325.0,0.0,0.0,both
Bart VerbruggenB. Verbruggen,Brighton & Hove Albion,Unknown,€20.00m,2000000000.0,Bart Verbruggen,GK,20.0,21.0,1890.0,0.0,0.0,both
IgorIgor,Brighton & Hove Albion,Unknown,€16.50m,1650000000.0,IgorIgor,,,,,,,left_only
James MilnerJ. Milner,Brighton & Hove Albion,Unknown,free transfer,0.0,James Milner,"DF,MF",37.0,15.0,773.0,0.0,2.0,both
Mahmoud DahoudM. Dahoud,Brighton & Hove Albion,Unknown,free transfer,0.0,Mahmoud Dahoud,MF,27.0,9.0,452.0,0.0,1.0,both
Zeki AmdouniZ. Amdouni,Burnley FC,Unknown,€18.60m,1860000000.0,Zeki Amdouni,FW,22.0,34.0,1953.0,5.0,1.0,both
James TraffordJ. Trafford,Burnley FC,Unknown,€17.30m,1730000000.0,James Trafford,GK,20.0,28.0,2520.0,0.0,0.0,both
Aaron RamseyA. Ramsey,Burnley FC,Unknown,€16.45m,1645000000.0,Aaron Ramsey,"MF,FW",20.0,14.0,527.0,0.0,0.0,both
Jordan BeyerJ. Beyer,Burnley FC,Unknown,€15.00m,1500000000.0,Jordan Beyer,DF,23.0,15.0,1234.0,0.0,1.0,both
Sander BergeS. Berge,Burnley FC,Unknown,€13.90m,1390000000.0,Sander Berge,MF,25.0,37.0,3005.0,1.0,2.0,both
Wilson OdobertW. Odobert,Burnley FC,Unknown,€12.00m,1200000000.0,Wilson Odobert,"MF,FW",18.0,29.0,2098.0,3.0,2.0,both
Dara O'SheaD. O'Shea,Burnley FC,Unknown,€7.80m,780000000.0,Dara OShea,DF,24.0,33.0,2892.0,3.0,4.0,both
Michael ObafemiM. Obafemi,Burnley FC,Unknown,€4.00m,400000000.0,Michael Obafemi,"FW,MF",23.0,2.0,20.0,0.0,0.0,both
Hannes DelcroixH. Delcroix,Burnley FC,Unknown,€3.00m,300000000.0,Hannes Delcroix,DF,24.0,12.0,589.0,0.0,0.0,both
Luca KoleoshoL. Koleosho,Burnley FC,Unknown,€3.00m,300000000.0,Luca Koleosho,"MF,FW",18.0,15.0,974.0,1.0,1.0,both
Han-Noah MassengoH. Massengo,Burnley FC,Unknown,free transfer,0.0,Han-Noah Massengo,"MF,DF",22.0,3.0,16.0,0.0,0.0,both
Nathan RedmondN. Redmond,Burnley FC,Unknown,free transfer,0.0,Nathan Redmond,"FW,MF",29.0,12.0,142.0,0.0,0.0,both
Lawrence VigourouxL. Vigouroux,Burnley FC,Unknown,free transfer,0.0,Lawrence Vigouroux,,,,,,,left_only
Moisés CaicedoM. Caicedo,Chelsea FC,Unknown,€116.00m,11600000000.0,Moiss Caicedo,MF,21.0,35.0,2866.0,1.0,3.0,both
Roméo LaviaR. Lavia,Chelsea FC,Unknown,€62.10m,6210000000.0,Romo Lavia,MF,19.0,1.0,33.0,0.0,0.0,both
Christopher NkunkuC. Nkunku,Chelsea FC,Unknown,€60.00m,6000000000.0,Christopher Nkunku,"FW,MF",25.0,11.0,443.0,3.0,0.0,both
Cole PalmerC. Palmer,Chelsea FC,Unknown,€47.00m,4700000000.0,Cole Palmer,"FW,MF",21.0,33.0,2607.0,22.0,11.0,both
