Player,Destination Club,Pos,Age,Transfer Fee (EUR),MP,Min,Gls,Ast,G_A,G_A_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90
Declan RiceD. Rice,Arsenal FC,MF,24.0,11660000000.0,38.0,3225.0,7.0,8.0,15.0,0.41860465116279066,0.09209302325581394,0.14790697674418604,2.093023255813953,7.75813953488372,1.786046511627907
Kai HavertzK. Havertz,Arsenal FC,MF,24.0,7500000000.0,37.0,2634.0,13.0,7.0,20.0,0.683371298405467,0.4202733485193622,0.15034168564920275,1.8792710706150342,3.3826879271070616,6.52619589977221
Jurrien TimberJ. Timber,Arsenal FC,DF,22.0,4000000000.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.140845070422536,6.338028169014085
Moussa DiabyM. Diaby,Aston Villa,FW,24.0,5500000000.0,38.0,2174.0,6.0,8.0,14.0,0.5795768169273229,0.28978840846366144,0.2732290708371665,3.891444342226311,2.980680772769089,7.575896964121435
Pau TorresP. Torres,Aston Villa,DF,26.0,3300000000.0,29.0,2464.0,2.0,0.0,2.0,0.07305194805194806,0.03652597402597403,0.014610389610389612,1.5340909090909092,4.675324675324676,0.5844155844155845
Youri TielemansY. Tielemans,Aston Villa,MF,26.0,0.0,32.0,1622.0,2.0,6.0,8.0,0.4438964241676942,0.07213316892725032,0.14426633785450063,1.2762022194821208,7.102342786683107,2.5524044389642415
Tyler AdamsT. Adams,AFC Bournemouth,MF,24.0,2690000000.0,3.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0743801652892562,2.975206611570248,3.7190082644628095,0.743801652892562
Hamed Junior TraoréH. Traoré,AFC Bournemouth,MF,23.0,2562000000.0,3.0,47.0,0.0,0.0,0.0,0.0,0.3829787234042553,0.0,3.829787234042553,5.74468085106383,7.659574468085106
Alex ScottA. Scott,AFC Bournemouth,MF,19.0,2300000000.0,23.0,1014.0,1.0,1.0,2.0,0.17751479289940827,0.06213017751479289,0.15088757396449703,2.130177514792899,4.437869822485207,3.1065088757396446
Milos KerkezM. Kerkez,AFC Bournemouth,DF,19.0,1787000000.0,28.0,1970.0,0.0,1.0,1.0,0.04568527918781726,0.054822335025380704,0.03654822335025381,2.1015228426395938,2.010152284263959,4.248730964467005
Romain FaivreR. Faivre,AFC Bournemouth,MF,25.0,1500000000.0,5.0,41.0,0.0,0.0,0.0,0.0,0.4390243902439025,0.0,8.78048780487805,10.975609756097562,8.78048780487805
Justin KluivertJ. Kluivert,AFC Bournemouth,MF,24.0,1080000000.0,32.0,1916.0,7.0,1.0,8.0,0.3757828810020877,0.29123173277661796,0.08924843423799582,3.0532359081419624,2.3486430062630483,5.354906054279749
Max AaronsM. Aarons,AFC Bournemouth,DF,23.0,810000000.0,20.0,1237.0,0.0,1.0,1.0,0.07275666936135813,0.0,0.058205335489086504,1.600646725949879,3.1285367825383994,1.8916734033953113
Nathan CollinsN. Collins,Brentford FC,DF,22.0,2685000000.0,32.0,2652.0,1.0,1.0,2.0,0.06787330316742082,0.057692307692307696,0.07466063348416291,0.3733031674208145,3.29185520361991,0.6108597285067874
Kevin SchadeK. Schade,Brentford FC,FW,21.0,2500000000.0,11.0,333.0,2.0,1.0,3.0,0.8108108108108107,0.3243243243243243,0.18918918918918917,2.162162162162162,2.4324324324324325,6.216216216216216
João PedroJoão Pedro,Brighton & Hove Albion,FW,21.0,3420000000.0,31.0,2045.0,9.0,3.0,12.0,0.5281173594132029,0.523716381418093,0.16723716381418094,3.6528117359413206,4.048899755501223,9.02200488997555
Carlos BalebaC. Baleba,Brighton & Hove Albion,MF,19.0,2700000000.0,27.0,1325.0,0.0,0.0,0.0,0.0,0.05433962264150944,0.020377358490566037,1.2905660377358492,3.3962264150943398,0.6113207547169812
James MilnerJ. Milner,Brighton & Hove Albion,DF,37.0,0.0,15.0,773.0,0.0,2.0,2.0,0.2328589909443726,0.03492884864165589,0.20957309184993533,1.2807244501940491,8.033635187580854,8.499353169469599
Mahmoud DahoudM. Dahoud,Brighton & Hove Albion,MF,27.0,0.0,9.0,452.0,0.0,1.0,1.0,0.19911504424778761,0.03982300884955752,0.17920353982300885,0.7964601769911505,2.190265486725664,1.1946902654867257
Zeki AmdouniZ. Amdouni,Burnley FC,FW,22.0,1860000000.0,34.0,1953.0,5.0,1.0,6.0,0.2764976958525346,0.2672811059907834,0.06451612903225806,2.903225806451613,2.2580645161290325,4.285714285714286
Aaron RamseyA. Ramsey,Burnley FC,MF,20.0,1645000000.0,14.0,527.0,0.0,0.0,0.0,0.0,0.051233396584440226,0.0683111954459203,1.366223908918406,1.366223908918406,2.903225806451613
Jordan BeyerJ. Beyer,Burnley FC,DF,23.0,1500000000.0,15.0,1234.0,0.0,1.0,1.0,0.07293354943273907,0.036466774716369534,0.02188006482982172,0.6564019448946515,1.8233387358184765,0.07293354943273907
Sander BergeS. Berge,Burnley FC,MF,25.0,1390000000.0,37.0,3005.0,1.0,2.0,3.0,0.08985024958402663,0.05690515806988353,0.0718801996672213,1.9168053244592347,4.911813643926789,0.8685524126455908
Wilson OdobertW. Odobert,Burnley FC,MF,18.0,1200000000.0,29.0,2098.0,3.0,2.0,5.0,0.21448999046711154,0.12011439466158245,0.1415633937082936,4.375595805529075,2.488083889418494,5.276453765490944
Dara O'SheaD. O'Shea,Burnley FC,DF,24.0,780000000.0,33.0,2892.0,3.0,4.0,7.0,0.21784232365145229,0.021784232365145227,0.06224066390041494,0.995850622406639,3.796680497925311,0.3112033195020747
Michael ObafemiM. Obafemi,Burnley FC,FW,23.0,400000000.0,2.0,20.0,0.0,0.0,0.0,0.0,0.45000000000000007,0.0,0.0,0.0,13.5
Hannes DelcroixH. Delcroix,Burnley FC,DF,24.0,300000000.0,12.0,589.0,0.0,0.0,0.0,0.0,0.061120543293718174,0.030560271646859087,0.30560271646859083,2.7504244482173177,0.9168081494057725
Luca KoleoshoL. Koleosho,Burnley FC,MF,18.0,300000000.0,15.0,974.0,1.0,1.0,2.0,0.18480492813141683,0.18480492813141683,0.12012320328542093,4.897330595482546,1.7556468172484598,7.57700205338809
Han-Noah MassengoH. Massengo,Burnley FC,MF,22.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0
Nathan RedmondN. Redmond,Burnley FC,FW,29.0,0.0,12.0,142.0,0.0,0.0,0.0,0.0,0.0,0.19014084507042253,4.436619718309859,5.070422535211268,13.943661971830986
