Player,Destination Club,Origin Club,Fee Text,Transfer Fee (EUR)
Declan RiceD. Rice,Arsenal FC,Unknown,€116.60m,11660000000.0
Kai HavertzK. Havertz,Arsenal FC,Unknown,€75.00m,7500000000.0
Jurrien TimberJ. Timber,Arsenal FC,Unknown,€40.00m,4000000000.0
Moussa DiabyM. Diaby,Aston Villa,Unknown,€55.00m,5500000000.0
Pau TorresP. Torres,Aston Villa,Unknown,€33.00m,3300000000.0
Youri TielemansY. Tielemans,Aston Villa,Unknown,free transfer,0.0
Tyler AdamsT. Adams,AFC Bournemouth,Unknown,€26.90m,2690000000.0
Hamed Junior TraoréH. Traoré,AFC Bournemouth,Unknown,€25.62m,2562000000.0
Alex ScottA. Scott,AFC Bournemouth,Unknown,€23.00m,2300000000.0
Milos KerkezM. Kerkez,AFC Bournemouth,Unknown,€17.87m,1787000000.0
Romain FaivreR. Faivre,AFC Bournemouth,Unknown,€15.00m,1500000000.0
Justin KluivertJ. Kluivert,AFC Bournemouth,Unknown,€10.80m,1080000000.0
Max AaronsM. Aarons,AFC Bournemouth,Unknown,€8.10m,810000000.0
Nathan CollinsN. Collins,Brentford FC,Unknown,€26.85m,2685000000.0
Kevin SchadeK. Schade,Brentford FC,Unknown,€25.00m,2500000000.0
Mark FlekkenM. Flekken,Brentford FC,Unknown,€13.00m,1300000000.0
João PedroJoão Pedro,Brighton & Hove Albion,Unknown,€34.20m,3420000000.0
Carlos BalebaC. Baleba,Brighton & Hove Albion,Unknown,€27.00m,2700000000.0
Bart VerbruggenB. Verbruggen,Brighton & Hove Albion,Unknown,€20.00m,2000000000.0
IgorIgor,Brighton & Hove Albion,Unknown,€16.50m,1650000000.0
James MilnerJ. Milner,Brighton & Hove Albion,Unknown,free transfer,0.0
Mahmoud DahoudM. Dahoud,Brighton & Hove Albion,Unknown,free transfer,0.0
Zeki AmdouniZ. Amdouni,Burnley FC,Unknown,€18.60m,1860000000.0
James TraffordJ. Trafford,Burnley FC,Unknown,€17.30m,1730000000.0
Aaron RamseyA. Ramsey,Burnley FC,Unknown,€16.45m,1645000000.0
Jordan BeyerJ. Beyer,Burnley FC,Unknown,€15.00m,1500000000.0
Sander BergeS. Berge,Burnley FC,Unknown,€13.90m,1390000000.0
Wilson OdobertW. Odobert,Burnley FC,Unknown,€12.00m,1200000000.0
Dara O'SheaD. O'Shea,Burnley FC,Unknown,€7.80m,780000000.0
Michael ObafemiM. Obafemi,Burnley FC,Unknown,€4.00m,400000000.0
Hannes DelcroixH. Delcroix,Burnley FC,Unknown,€3.00m,300000000.0
Luca KoleoshoL. Koleosho,Burnley FC,Unknown,€3.00m,300000000.0
Han-Noah MassengoH. Massengo,Burnley FC,Unknown,free transfer,0.0
Nathan RedmondN. Redmond,Burnley FC,Unknown,free transfer,0.0
Lawrence VigourouxL. Vigouroux,Burnley FC,Unknown,free transfer,0.0
Moisés CaicedoM. Caicedo,Chelsea FC,Unknown,€116.00m,11600000000.0
Roméo LaviaR. Lavia,Chelsea FC,Unknown,€62.10m,6210000000.0
Christopher NkunkuC. Nkunku,Chelsea FC,Unknown,€60.00m,6000000000.0
Cole PalmerC. Palmer,Chelsea FC,Unknown,€47.00m,4700000000.0
Axel DisasiA. Disasi,Chelsea FC,Unknown,€45.00m,4500000000.0
Nicolas JacksonN. Jackson,Chelsea FC,Unknown,€37.00m,3700000000.0
Lesley UgochukwuL. Ugochukwu,Chelsea FC,Unknown,€27.00m,2700000000.0
Robert SánchezR. Sánchez,Chelsea FC,Unknown,€23.00m,2300000000.0
